Ticker,MMBuy,MMSell,AI1-Average,AI1-Previous,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-Previous,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-Previous,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-Previous,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC21-Previous,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-Previous,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
LOG,68000,,68062.78,68100,39,68100,630,100,68000,100,68000,68000,48,70000,73,100,68000,107,65000,65000,,,0,,,0,73900,73900,2,73900,1063,100,68000,100,69700,69700,,,0,,,0,71837.29,75000,43,75000,43,100,68000,120
LSE,,,13400,13400,29,13500,995,4,12200,1945,14500,14500,535,14500,735,200,12000,712,15000,15000,96,15000,96,,,0,13500,13500,470,13500,2849,4,10800,2694,13000,13000,30,14000,82,50,7900,100,14800,14800,11,14800,422,10,13100,803
LSL,,,480000,480000,1,450000,16,,,0,486000,486000,4,487000,6,,,0,223532.01,,,,0,,,0,490000,490000,2,420000,3,,,0,223532.01,,,,0,,,0,494000,494000,2,468000,7,,,0
LST,34,,194,194,6379,194,232507,2997,166,41698,200,200,2441,200,78924,20,170,104027,180,180,308,139,308,,,0,231.37,200,46,200,50521,100,182,41421,137.1,125,715,150,16079,1000,115,2334,163.4,166,233,166,79892,683,140,61213
LTA,,,5300,5300,712,5400,3744,41,4530,2449,5150,5150,1733,5150,6080,53,4100,163,5700,5700,236,5700,420,280,4000,280,4700,4700,30,4700,4603,166,4400,2371,4500,4500,24,4500,297,67,3400,67,4860,4860,26,4860,1616,5,4030,886
LU,,,149535.71,150000,9,150000,9,,,0,100000,100000,6,130000,16,24,100000,24,62139.35,,,,0,,,0,90100,90100,4,140000,4,1,90100,40,62139.35,,,,0,,,0,120000,120000,3,120000,3,,,0
MAG,87,,87,87,47,499,6982,100,87,100,500,500,379,500,652,100,87,100,117.55,,14,300,14,,,0,242.72,170,484,310,5988,281,170,2881,117.55,,10,350,10,,,0,141.73,233,35,233,96,324,90,424
MAI,86,,494.44,495,3034,495,19551,1702,401,14476,479,479,925,479,9626,1788,425,23922,400,400,,,0,,,0,495,495,688,495,24571,2000,450,50001,310,310,,,0,,,0,410,410,132,449,15179,11,410,18937
MB,,,9746.12,9450,281,9450,2272,200,8760,1818,9200,9200,25,9200,345,200,9010,1531,8000,8000,,,0,,,0,9420,9420,159,9400,3188,18,8600,587,8400,8400,,,0,,,0,10200,10200,231,10200,316,200,8210,902
MCB,,,510000,510000,1,520000,1,,,0,510000,510000,1,520000,1,1,350000,1,174463.1,,,,0,,,0,354256.1,450000,1,480000,7,,,0,174463.1,,,,0,,,0,517000,517000,1,499000,3,,,0
MCG,12,39,36.9,36.9,100,39,85458,76,36.9,122415,38.6,38.6,400,38.6,560295,7500,35.3,195789,39,39,2960,39,2960,5000,35,7540,39,39,100,39,100500,50000,36.1,448614,22,22,13551,22,259968,,,0,39,39,100,39,37101,2000,20,256303
MEA,,,4600,4600,218,6500,13440,100,4550,4239,5680,5680,270,5680,2338,97,5200,1395,3800,3800,20,7000,20,,,0,6050,6050,28,6050,3884,500,5260,10442,5000,5000,20,3900,36,,,0,5500,5500,20,5500,3121,1000,4500,4611
MED,,,1530,1530,141,1530,42889,12,1340,7237,1450,1450,286,1450,22517,1709,1380,4159,1700,1700,2166,1700,2617,189,1300,189,1480,1480,2985,1480,36968,2881,1360,9675,2600,2600,3,2600,53,100,1110,121,1460,1460,380,1460,15968,2170,1350,8740
MFE,,,155132.48,155000,2,154000,132,,,0,125000,125000,5,120000,116,12,110000,12,43967.34,,,,0,,,0,156750,158000,1,140000,109,4,60000,4,43967.34,,,,0,,,0,157530.66,135000,40,160000,52,,,0
MFK,,,365,365,59,365,33634,2000,213,110000,389,389,559,389,36422,979,230,108295,420,420,1000,395,2976,,,0,347,347,14,347,44385,178,310,122102,399,399,342,399,836,,,0,380,380,3377,380,7763,88,310,105185
MFL,,,190000,190000,1,189000,24,1,124000,1,191220.92,195000,1,198000,3,,,0,78679.64,,,,0,,,0,158000,158000,1,158000,25,,,0,78679.64,,,,0,,,0,199000,199000,1,210000,7,,,0
