Ticker,MMBuy,MMSell,AI1-Average,AI1-Previous,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-Previous,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-Previous,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-Previous,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC21-Previous,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-Previous,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
PSS,,,1500,1500,120,1700,10301,1602,1500,2602,1626.37,1800,23,1800,2110,1000,1470,6023,450,450,,,0,,,0,1900,1900,1,1950,5921,210,1800,1210,1600,1600,100,3000,100,,,0,1100,1100,2045,1880,3079,371,1100,4215
PT,,,598,598,173,598,30625,20,470,16835,510,510,796,555,34038,170,510,6602,600,600,180,600,1675,,,0,585,585,163,585,40608,5,495,11110,692.81,700,230,700,266,15,600,15,579,579,2638,579,33965,112,578,1153
PWO,,,400,400,321,400,28364,200,375,20453,420,420,50,420,31941,3,410,5605,390,390,129,390,1701,17,281,3017,424,424,157,424,22458,24,410,21991,350,350,351,350,1239,200,300,695,379,379,665,379,16359,100,372,880
QCR,,,1000000,1000000,1,1000000,13,1,800000,1,1080000,1080000,1,999000,11,1,900000,4,850000,850000,,,0,,,0,1190000,1190000,,,0,5,800000,6,365080.83,,,,0,,,0,1300000,1300000,1,1400000,1,1,500000,1
RAD,,,15000,15000,37,15900,399,34,14000,334,15000,15000,58,15000,195,50,13500,77,3700.19,,,,0,,,0,13770.38,14000,26,13900,481,44,13000,367,3700.19,,10,14500,10,,,0,12600,12600,42,16000,42,,,0
RAG,,,550000,550000,1,699000,4,,,0,550000,550000,11,690000,12,1,550000,2,259841.81,,,,0,,,0,569000,569000,5,569000,5,5,480000,5,259841.81,,,,0,,,0,580000,580000,4,650000,8,,,0
RAM,,,3150,3150,70,3110,2344,500,2800,1859,2586.69,2500,30,2800,944,274,2500,1325,1238,,,,0,,,0,2839.44,2700,61,2990,2933,713,2700,2181,1600,1600,10,3000,10,,,0,2500,2500,97,2800,595,463,2500,1463
RAT,32,176,176,176,100,176,1262863,9674,173,792331,176,176,100,176,784852,499,172,146750,176,176,901,176,1401,9950,150,19380,176,176,100,176,822750,200,175,201160,171.73,190,8046,190,8046,2000,150,27224,176,176,100,176,745549,4511,175,588058
RBH,,,19700,19700,2,19700,2618,88,18000,699,20400,20400,154,20400,1340,9,18100,140,22000,22000,2,22000,22,,,0,17500,17500,70,17500,2327,90,17200,1065,25000,25000,8,20000,8,10,10000,10,18000,18000,22,18000,1023,115,17900,288
RCO,400,,1700,1700,910,1700,8264,1841,1500,10232,1550,1550,70,1550,12434,420,1320,2196,1700,1700,120,1400,804,500,1000,500,2290,2290,54,2000,3331,272,1650,3972,1500,1500,160,1450,476,909,900,909,1370,1370,10,1780,1607,52,1370,5532
RCS,,,250000,250000,1,250000,6,1,200000,8,240000,240000,13,240000,13,5,215000,12,93742,,,,0,,,0,225000,225000,2,225000,8,,,0,93742,,,,0,,,0,210000,210000,2,220000,2,1,200000,1
RCT,,,928000,928000,1,927000,7,,,0,930000,930000,2,960000,3,1,500000,3,1000000,1000000,,,0,,,0,990000,990000,2,850000,6,,,0,357974.88,,,,0,,,0,960000,960000,1,979000,1,,,0
RDE,,,38937.5,39000,122,39000,1057,50,32400,635,39900,39900,10,39900,130,50,29100,434,38000,38000,12,55000,12,,,0,39000,39000,69,39000,1126,115,31700,725,50000,50000,57,50000,57,10,15000,10,34500,34500,10,34500,861,50,31100,899
RDL,,,1100000,1100000,10,1380000,13,1,200000,1,998000,998000,2,998000,9,,,0,378869.08,,,,0,,,0,1390000,1390000,1,1390000,3,1,1200000,2,378869.08,,,,0,,,0,1600000,1600000,1,1400000,1,,,0
RDS,,,800000,800000,1,800000,1,,,0,775000,775000,1,800000,1,,,0,208036.57,,,,0,,,0,800000,800000,1,800000,1,,,0,208036.57,,,,0,,,0,800000,800000,1,800000,1,,,0
RE,,,2900,2900,1951,2900,24993,250,1800,827,3700,3700,70,3700,14080,100,2600,200,3000,3000,279,3500,279,,,0,3400,3400,937,3390,38224,100,2800,100,5000,5000,12,4500,3760,,,0,2800,2800,300,4200,10575,,,0
REA,,,1200.31,950,246,1320,8817,191,950,191,1200,1200,49,1200,5611,300,750,300,500,500,17,3000,17,,,0,1146.38,1160,1474,1160,9257,104,985,5199,900,900,400,900,1600,,,0,1075.15,975,40,1390,546,150,975,1963
RED,60000,,60000,60000,200,60200,210,100,60000,100,60000,60000,3,69900,248,100,60000,100,22664.06,,,,0,,,0,60000,60000,12,64900,387,100,60000,100,22664.06,,,,0,,,0,60000,60000,20,66000,20,100,60000,100
REO,,,2000,2000,812,1990,2653,1000,400,1320,2100,2100,52,2190,685,316,2100,416,164.57,,270,2000,270,24,1000,24,400,400,,,0,,,0,2000,2000,,,0,46,2000,46,0.01,0.01,,,0,800000,0.01,800000
REP,,,948,948,114,948,11088,10,842,10395,880,880,226,880,11462,3,820,850,950,950,170,950,970,10,630,10,881,881,2326,881,14338,39,751,20493,700,700,90,700,181,50,620,113,850,850,368,925,10039,54,850,3705
RG,,,1550,1550,672,1700,17540,110,1550,7466,1310,1310,280,2000,5898,450,1310,2170,2090,2090,,,0,,,0,1670,1670,111,1670,11822,650,1340,23313,2500,2500,2,2220,120,,,0,1779.72,1810,290,1770,11426,196,1420,2887
RGO,,,2340,2340,278,2330,1061,500,1650,700,2100,2100,23,2100,892,50,1310,605,794.69,,,,0,,,0,2500,2500,825,2500,3113,200,1690,1420,794.69,,10,2100,10,,,0,2000,2000,60,2000,77,77,1000,77
RHP,,,6990,6990,25,6980,117,36,5200,36,6969.55,7100,47,7000,60,,,0,2754.41,,,,0,,,0,6590,6590,1,6340,623,,,0,2754.41,,,,0,,,0,6941.55,7000,,,0,,,0
ROM,,,5810,5810,72,5810,6216,200,5510,6207,5954.96,5990,97,5990,1336,1000,4600,2011,1901.96,,,,0,,,0,5390,5390,105,5390,2081,300,4850,4235,4500,4500,40,7500,40,,,0,5991.91,5900,122,5900,1261,100,3310,401
RSE,,,29700,29700,41,29700,3351,19,27600,499,35948.87,36000,455,36000,1043,8,28000,507,33000,33000,20,35000,20,,,0,27400,27400,4,27400,1697,265,27300,1794,30000,30000,5,30000,5,10,15000,10,28500,28500,40,28500,933,20,27600,962
RSH,,,40000,40000,711,40000,711,44,30000,458,50000,50000,,,0,,,0,19215.07,,,,0,,,0,22200,22200,,,0,14,22200,54,28000,28000,,,0,,,0,40000,40000,,,0,30,22000,30
RSI,,,1978.24,2000,449,2000,449,300,200,300,1650,1650,27,1650,27,,,0,684.2,,,,0,,,0,2120,2120,452,2120,452,19,722,1034,1150,1150,,,0,,,0,2175.43,2490,13,2480,85,,,0
RTA,,,17000,17000,24,17000,3196,1,16500,985,18900,18900,16,18900,1509,70,16600,308,17300,17300,10,25000,10,,,0,15900,15900,9,15900,1512,11,15500,1344,20000,20000,2,20000,2,10,8000,20,17156.25,17200,86,17200,1013,50,14500,450
S,,,372,372,20,372,4762,5,150,7760,297,297,256,297,3655,296,145,4344,280,280,,,0,,,0,197.31,214,147,210,8448,26,155,19054,145,145,100,190,100,,,0,227.23,201,1041,239,8459,7286,200,12830
SA,,,8088.84,8300,45,8300,111,11,7600,111,8237.37,8300,35,8300,162,,,0,3410.75,,,,0,,,0,8280,8280,1,8280,277,42,7500,124,3410.75,,,,0,,,0,12716.84,15000,100,9990,144,10,7500,20
SAL,,,7100,7100,2,7690,121,57,7100,557,7706.11,7890,3,7890,238,49,7000,49,3410.75,,,,0,,,0,7500,7500,44,7690,724,88,7500,88,3410.75,,,,0,,,0,7500,7500,6,7500,140,28,7000,58
SAR,,,32100,32100,73,32100,2679,4,28500,255,38000,38000,15,38000,1105,10,29100,153,9564.21,,,,0,,,0,34000,34000,4,34900,817,76,30000,269,9564.21,,10,34000,10,,,0,35500,35500,251,35600,715,20,26500,72
SBU,,,43000,43000,156,43000,1156,15,33000,15,43951.17,44000,201,44000,201,15,33000,51,14800.44,,,,0,,,0,35667.04,35700,202,44000,202,8,32000,54,14800.44,,,,0,,,0,36400,36900,150,44000,150,15,30000,15
SC,,,1330,1330,362,1330,10339,12,1000,4394,1340,1340,744,1370,2875,100,1000,159,1600,1600,95,1600,152,100,800,100,1250,1250,2,1250,8068,8,961,2682,2971.12,3000,85,3000,85,5,1200,105,1220,1220,982,1220,6603,30,971,914
SCB,,,110000,110000,9,110000,19,,,0,120000,120000,1,120000,3,,,0,53413.53,,,,0,,,0,160000,160000,1,140000,3,1,50000,1,53413.53,,,,0,,,0,190000,190000,1,100000,4,,,0
SCN,,,3030,3030,92,3030,2460,60,2600,3268,3390,3390,182,3390,2660,50,3100,1609,2500,2500,922,2500,2435,,,0,3790,3790,1,3790,1509,10,2800,2079,2500,2500,135,2500,145,40,1500,40,3730,3730,267,3730,1333,200,2650,437
SCR,82,,450,450,475,440,1827,50,183,3350,161.48,105,731,265,3724,484,105,2570,100,100,,,0,,,0,215,215,50,270,6407,2154,215,12663,150,150,15,144,15,,,0,230.59,300,101,320,6668,1960,300,3972
SDM,,,3400000,3400000,1,3000000,1,,,0,1115816.42,,,,0,,,0,1115816.42,,,,0,,,0,2500000,2500000,,,0,,,0,1115816.42,,,,0,,,0,1115816.42,,,,0,,,0
SDR,100000,,100000,100000,49,102000,129,100,100000,100,100000,100000,103,115000,133,100,100000,100,37717.07,,,,0,,,0,100000,100000,60,130000,60,100,100000,100,37717.07,,,,0,,,0,100000,100000,,,0,100,100000,100
SEA,,,199,199,5764,199,89239,500,150,103525,189.19,190,1235,190,48393,2500,141,111589,155,155,4450,155,9450,,,0,198.16,199,4118,199,62883,112,170,151314,170,170,1058,175,1058,,,0,174,174,853,174,42839,1000,125,109588
SEN,,,814.21,824,5399,824,89393,880,803,38849,740,740,3747,800,35270,1000,650,1500,1300,1300,,,0,50,610,100,814.63,836,1731,836,45274,10000,800,25864,775,775,,,0,,,0,841.42,848,700,845,11089,400,694,6356
SEQ,,,22900,22900,30,24000,50,100,20000,234,23000,23000,,,0,,,0,8481.09,,,,0,,,0,20000,20000,19,20000,56,59,18000,59,8481.09,,,,0,,,0,25000,25000,,,0,10,16000,10
SF,6,18,17.9,17.9,3091,17.9,1230060,500,16.6,1647460,16.9,16.9,18210,16.9,1183029,500,16.5,2659957,18,18,7030,18,112039,,,0,17.9,17.9,94467,17.9,845004,9525,17.7,1565747,18.2,18.2,549,24,33882,1000,17.6,96367,17.9,17.9,4020,17.9,1380738,354,17.8,568111
SFE,,,63614.23,67800,4,67800,51,7,50000,7,60000,60000,10,63000,90,7,60000,7,25136.58,,,,0,,,0,60000,60000,14,69800,59,,,0,25136.58,,,,0,,,0,66000,66000,3,69900,44,,,0
SFK,,,100,100,21951,100,90145,100,90.1,140147,97.2,97.2,3477,97.2,57504,9608,75,116286,75,75,3889,85,6889,,,0,78,78,282,78,239281,20,71,201120,70,70,200,238,200,100,50,100,89.8,89.8,3493,89.8,106592,88,75.2,103568
SFL,,,98500,98500,1,98300,35,,,0,118000,118000,1,109000,39,,,0,39315.27,,,,0,,,0,85000,85000,1,88900,7,,,0,39315.27,,,,0,,,0,11000,11000,1,109000,13,,,0
SI,,,2460,2460,95,2460,22732,50,2320,12880,2356.92,2350,9,2670,12310,500,2260,8644,2000,2000,858,2700,858,,,0,2760,2760,138,2760,25732,490,2300,4231,3000,3000,,,0,39,1000,39,2297.12,2300,43,2300,1597,1998,2120,8877
SIL,,,2800,2800,194,2800,1509,,,0,1500,1500,106,2640,801,201,1500,201,2265.14,,4,10000,4,,,0,2750,2750,809,2750,3111,,,0,2265.14,,10,3500,14,,,0,2050,2050,30,1950,553,20,1600,20
SIO,38,,133,133,1346,133,254336,40,103,37919,139,139,58,139,148826,68,134,13011,190,190,903,145,3841,,,0,140,140,2309,140,145921,20,125,42858,190,190,15000,150,23670,50,100,50,116.27,116,44,115,58241,410,113,24050
SNM,,,110000,110000,10,119000,75,50,110000,110,109000,109000,19,109000,69,,,0,76610.66,,,,0,,,0,115000,115000,4,115000,23,4,114000,104,76610.66,,,,0,,,0,110000,110000,6,120000,6,100000,0.01,100000
SOI,,,725,725,49,800,2138,101,725,2713,825,825,100,840,3546,808,680,3002,450,450,,,0,,,0,880,880,232,880,18061,480,703,10322,550,550,10,744,663,,,0,747.51,748,60,748,5784,18,625,7778
SOL,,,1550,1550,3756,1550,6768,1000,1300,10000,1409.52,1500,12,1450,631,808,1200,5443,446.02,,,,0,,,0,1578.96,1590,125,1580,6439,3000,1450,8843,1200,1200,3,1200,3,,,0,1806.11,1930,,,0,1000,1200,3988
SP,2500,,2793.45,2750,60,2750,8100,100,2500,100,2980,2980,64,2980,2065,96,2510,196,2900,2900,18,2900,160,,,0,2572.28,2600,374,2600,11757,100,2500,110,2560,2560,,,0,,,0,3850,3850,202,3850,1954,14,2850,770
SPT,,,600,600,299,750,299,,,0,600,600,1000,600,5000,,,0,189.33,,,,0,,,0,520,520,100,520,100,,,0,189.33,,,,0,,,0,778.81,780,156,780,24756,,,0
SRD,70000,,82000,82000,5,82000,45,100,70000,100,70000,70000,3,89900,147,100,70000,100,29473.94,,,,0,,,0,70100,70100,60,90000,60,100,70000,100,29473.94,,,,0,,,0,70000,70000,10,90000,10,100,70000,100
SRP,,,13900,13900,87,13900,1670,,,0,17000,17000,547,17000,1118,,,0,7928.26,,,,0,,,0,16900,16900,49,16900,208,100,4000,100,7928.26,,,,0,,,0,20000,20000,48,20000,48,,,0
SSC,,,680.8,698,302,698,7020,200,550,6406,647,647,82,647,1413,50,531,2949,600,600,96,600,2196,,,0,669,669,2711,669,13943,20,570,8707,530,530,57,530,347,,,0,690,690,1089,690,2108,100,670,951
SSL,,,69500,69500,1,69600,20,,,0,69863.64,70000,1,71000,1,2,58000,2,22109.03,,,,0,,,0,66717.24,70000,6,70000,6,,,0,22109.03,,,,0,,,0,80000,80000,1,80000,2,,,0
SST,,,10000000,10000000,2,10000000,2,,,0,3838073.91,,,,0,,,0,3838073.91,,,,0,,,0,10000000,10000000,,,0,,,0,3838073.91,,,,0,,,0,3838073.91,,,,0,,,0
STL,,,2450,2450,111,2450,15416,39,1920,6505,2200,2200,784,2200,10097,403,1910,3055,2300,2300,222,2300,1272,200,1800,200,1850,1850,126,1950,27084,282,1850,3530,2000,2000,63,1950,247,,,0,2244.79,2210,168,2210,7813,136,2070,2553
STR,1750,,2694.32,2690,36,2690,323,500,2300,826,1800,1800,100,2800,300,96,1800,490,2350,2350,180,2000,181,,,0,3200,3200,53,3200,335,200,1800,380,1950,1950,12,2600,22,,,0,2766.48,2620,,,0,40,2650,570
STS,,,193000,193000,5,190000,12,2,17300,4,170000,170000,4,170000,8,,,0,95665.68,,,,0,,,0,176000,176000,1,177000,6,2,17000,2,95665.68,,,,0,,,0,178000,178000,2,178000,13,,,0
SU,,,115000,115000,9,115000,11,,,0,200000,200000,,,0,,,0,112362.03,,,,0,,,0,300000,300000,20,300000,20,,,0,112362.03,,,,0,,,0,112362.03,,,,0,,,0
SUD,100000,,110000,110000,4,110000,34,100,100000,100,100000,100000,3,124000,63,100,100000,100,37979.57,,,,0,,,0,120000,120000,57,120000,57,100,100000,100,37979.57,,,,0,,,0,100000,100000,,,0,100,100000,100
SUN,,,799.73,800,2981,800,4869,684,500,1084,508.99,640,60,640,1030,20,550,1004,475,475,200,1000,200,,,0,720,720,720,720,3210,1000,600,6842,499,499,300,499,500,100,300,100,695.66,690,60,690,2115,20,522,940
SWF,,,199,199,22573,199,255665,553,177,146336,196.34,197,1500,196,112046,1680,179,109649,80.31,,,,0,,,0,180,180,3841,180,130215,20000,175,140000,110,110,1000,400,1000,,,0,177.09,179,9430,179,33729,226,137,107526
TA,,,17439.12,17400,5,17400,853,2,12000,12,15000,15000,113,19000,463,3,15000,335,8409.38,,,,0,50,8000,50,18821.05,12500,13,24000,201,36,12500,245,10400,10400,,,0,1,16000,1,29000,29000,36,27500,42,10,16000,61
TAC,,,150000,150000,1,318000,68,2,15000,2,500000,500000,3,350000,5,,,0,91593.23,,1,350000,1,,,0,550000,550000,2,460000,13,,,0,91593.23,,,,0,,,0,91593.23,,,,0,2,50000,2
TAI,,,703,703,5573,750,10441,729,703,1129,1000,1000,869,1000,8574,40,500,70,121.01,,1000,900,1000,,,0,1115.51,1200,194,1200,6220,181,800,1567,750,750,22,750,84,,,0,950,950,356,950,1739,,,0
TBU,,,67968.81,68000,170,68000,170,15,59000,15,69000,69000,150,69000,150,2,51000,2,22796.04,,,,0,,,0,108000,108000,161,69000,171,15,59000,15,22796.04,,,,0,,,0,69000,69000,190,69000,190,,,0
TC,,,4100,4100,1,7900,839,25,4100,25,7000,7000,158,7400,892,27,7000,204,3848.04,,,,0,,,0,20000,20000,32,20000,316,37,4100,37,7500,7500,10,18000,10,,,0,6500,6500,15,6500,1079,98,2500,98
TCB,,,45000,50000,1,51000,1,,,0,26000,26000,1,26000,2,,,0,9540.45,,,,0,,,0,30000,30000,3,34500,8,,,0,9540.45,,,,0,,,0,29900,29900,1,25500,3,,,0
TCL,,,4200,4200,313,4200,6875,255,3600,7687,3900,3900,191,3900,6685,131,3250,5137,3500,3500,96,3500,429,,,0,3550,3550,965,3750,9078,293,3550,7801,3000,3000,,,0,20,2000,20,3940,3940,60,3930,3335,105,3460,2368
TCO,,,750,750,18,750,5977,100,420,1900,1000,1000,496,1000,2880,50,500,2510,500,500,9490,500,20419,,,0,1270,1270,422,1270,5577,500,416,1270,130,130,93,650,535,,,0,750,750,,,0,16,515,772
TCS,,,4847.3,4990,15,4980,5688,89,4010,1234,5611.44,5400,391,5390,665,100,4100,171,6264.19,6300,94,9000,94,100,5700,100,4218.46,3940,121,5400,639,9,3940,466,4400,4400,50,8000,50,,,0,4890,4890,405,4890,8540,,,0
TCU,,,230000,230000,2,200000,2,10,91100,12,190000,190000,2,200000,2,10,90000,10,69683.38,,,,0,,,0,195000,195000,3,300000,3,10,196000,37,69683.38,,,,0,,,0,250000,250000,,,0,10,96000,15
THF,,,725.95,850,2901,850,2901,320,500,4761,599.72,600,245,715,6490,1500,431,7430,475,475,,,0,,,0,570,570,317,570,26764,562,430,11360,550,550,40,550,40,,,0,506.01,565,496,565,5838,,,0
THP,,,6700,6700,6,6700,2025,63,5130,1063,7040.61,6900,364,8400,727,30,6900,213,2399.04,,,,0,,,0,7000,7000,8,8000,929,184,7000,1271,2399.04,,,,0,,,0,6000,6000,222,8900,411,16,6000,16
TI,,,1930,1930,162,2340,15670,49,1930,2054,2390,2390,1141,2390,9911,1000,1900,2023,2000,2000,478,2400,1523,,,0,2387.35,2390,4,2390,22774,616,1800,4716,2490,2490,76,4000,76,,,0,2686.12,2700,428,2700,3662,275,2110,396
TIO,74,,365,365,1304,365,183633,26,294,15502,300,300,8613,300,20721,500,255,42721,330,330,400,280,2320,,,0,345,345,405,345,54648,400,275,18606,220,220,,,0,,,0,369,369,950,369,1766,200,242,3960
TK,,,31000,31000,160,48000,433,,,0,35500,35000,50,39000,263,20,35000,40,20250.62,,,,0,,,0,38000,38000,10,38000,60,,,0,20250.62,,5,41100,5,,,0,3950,3950,2,38900,9,,,0
TOR,,,900000,900000,12,849000,29,,,0,280650.29,,,,0,,,0,280650.29,,,,0,,,0,1100000,1100000,1,800000,4,,,0,280650.29,,,,0,,,0,400000,400000,,,0,,,0
TPU,,,2450,2450,177,3990,2479,67,2410,802,2500,2500,135,2500,635,,,0,1175.2,,,,0,,,0,4460,4460,10,4460,686,489,2500,489,1000,1000,,,0,,,0,3291.86,3500,188,4100,681,,,0
TRA,,,2034.15,2000,83,2270,1593,,,0,1846.1,1840,48,2650,490,,,0,840.01,,,,0,,,0,1810,1810,473,2150,2831,183,1810,683,840.01,,10,2000,10,,,0,2730,2730,158,2730,293,200,1700,200
TRN,,,520,520,150,520,138141,1000,511,164145,500,500,1492,500,38451,4889,495,122329,600,600,,,0,,,0,510,510,989,510,93814,5000,482,139478,50,50,1000,700,1000,,,0,477.58,477,58,508,29044,1930,477,106224
TRS,,,299666.67,300000,6,300000,6,6,230000,12,290000,290000,,,0,1,220000,1,101058.03,,,,0,,,0,297300,300000,16,300000,619,7,260000,17,101058.03,,,,0,,,0,295000,295000,,,0,8,231000,28
TRU,,,620,620,41,620,9312,352,600,13271,711.27,711,29,797,3749,1179,711,3356,750,750,178,750,178,,,0,640,640,96,640,28805,500,560,19451,550,550,110,550,330,200,500,200,640,640,1968,640,15957,932,619,1042
TS,,,899,899,1569,899,9759,1000,122,2100,100,100,,,0,616,63,2284,74.81,,,,0,,,0,550,550,572,550,1743,100,400,13195,74.81,,10,399,10,,,0,207,207,,,0,93,207,1662
TSH,,,42900,42900,25,42900,1168,5,31600,809,44869.45,49400,207,49400,437,4,39100,79,60000,60000,,,0,,,0,39000,39000,50,39000,473,2,32000,632,40000,40000,9,39000,16,,,0,45035,45000,25,40000,148,1,39000,77
TUB,,,329.69,330,1000,329,13762,231,220,31537,279.17,289,2612,289,11178,400,155,5400,270,270,228,270,646,,,0,270.18,332,60,200,21882,1000,180,27422,170,170,260,170,1544,,,0,341.87,348,400,348,38319,400,155,26989
UTS,3500,,19870.83,19900,15,19900,418,21,5800,3593,8222.13,8250,,,0,8,6800,1424,5400,5400,,,0,,,0,7000,7000,2,7500,385,228,7000,1890,5900,5900,16,6000,16,,,0,6950,6950,8,6950,683,40,6000,1329
VCB,,,799000,799000,1,799000,2,,,0,850000,850000,1,878000,2,,,0,350872.81,,,,0,,,0,839000,839000,1,839000,3,,,0,350872.81,,,,0,,,0,896000,896000,1,896000,4,,,0
VEG,88,,321,321,13,321,28094,750,320,27491,419,419,345,419,13175,763,410,12551,400,400,,,0,,,0,351,351,8,434,12278,38,351,14962,335,335,840,375,840,303,335,970,399,399,123,399,19177,200,342,33467
VF,,,19.9,19.9,1000,19.8,2324508,100000,15,100000,22,22,6536,22,148997,100000,15.1,200000,16.14,,18763,24,18763,,,0,15,15,85000,19.4,643459,84000,15,84000,24,24,90000,24,90000,,,0,15.77,15,29931,17.4,956536,41000,15,41000
VFT,,,2600000,2600000,1,2600000,1,,,0,2600000,2600000,,,0,,,0,1029499.45,,,,0,,,0,2400000,2400000,,,0,,,0,1029499.45,,,,0,,,0,1029499.45,,,,0,,,0
VG,,,2890,2890,86,2890,2129,60,1810,2183,2120,2120,168,2120,6612,37,1810,667,2190,2190,90,2190,250,,,0,2439.29,2480,249,2480,2211,143,1900,1543,2400,2400,17,2400,217,,,0,2380,2380,26,2380,7857,30,2260,2154
VIT,,,585.83,560,376,1080,7779,841,560,1895,785,785,18012,785,18012,500,400,500,324.66,,,,0,,,0,982.9,987,450,986,686,,,0,740,740,,,0,,,0,1120.55,1200,,,0,4,800,33
VOE,,,5400000,5400000,,,0,,,0,2949036.32,,1,6000000,1,,,0,2949036.32,,,,0,,,0,5000000,5000000,,,0,,,0,2949036.32,,,,0,,,0,2949036.32,,,,0,,,0
VOR,,,2553164.39,,,,0,,,0,2553164.39,,,,0,,,0,2553164.39,,,,0,,,0,2553164.39,,1,4420000,1,,,0,2518066.46,,,,0,,,0,2553164.39,,,,0,,,0
VSC,,,50000,50000,1,40000,4,,,0,50000,50000,1,50000,1,,,0,15937.35,,,,0,,,0,54800,54800,1,54400,6,,,0,15937.35,,,,0,,,0,50000,50000,1,40000,2,,,0
W,,,16900,16900,31,16900,3136,30,15200,11362,16981.52,18400,10,17000,1979,200,16000,851,6250.14,,,,0,,,0,17176.75,17500,98,17500,1960,500,15300,1771,8900,8900,,,0,10,8000,10,16900,16900,172,16900,848,39,15200,604
WAI,,,95500,95500,45,95500,615,88,91000,251,91723.63,93000,13,93000,329,20,92000,80,100000,100000,37,100000,248,,,0,96000,96000,33,96000,688,20,90600,170,51930.23,,,,0,,,0,90000,90000,46,94000,171,99,90000,200099
WAL,,,7990.94,7990,191,7990,2829,10,6510,2212,6300,6300,40,7500,1542,479,6300,1549,2800.33,,,,0,,,0,9131.41,9000,12,8990,8185,44,6500,444,2800.33,,,,0,,,0,9500,9500,76,9500,76,,,0
WCB,,,960000,960000,3,930000,18,1,402000,2,800000,800000,2,939000,7,,,0,347832.93,,,,0,,,0,870000,870000,2,871000,29,1,500000,4,347832.93,,,,0,,,0,790000,790000,3,940000,4,1,300000,2
WIN,,,9000,9000,138,14500,1712,30,7830,4547,9890,9890,306,9890,809,2000,7600,3787,10000,10000,60,12000,73,,,0,9590,9590,51,9600,4933,2000,7600,5203,12000,12000,2,6480,22,,,0,9500,9500,4,9500,915,1000,7010,5931
WM,,,11000,11000,264,13000,313,80,11000,99,12900,12900,19,12900,54,8,10000,9,6821.51,,,,0,,,0,12000,12000,56,12000,243,82,11000,192,6821.51,,,,0,,,0,11000,11000,,,0,,,0
WOR,,,230000,230000,,,0,,,0,187935.04,220000,,,0,10,160000,10,83894.73,,1,200000,1,,,0,200000,200000,,,0,,,0,83894.73,,,,0,,,0,150000,150000,,,0,,,0
WR,140000,,190000,190000,10,155000,18,5,150000,110,150000,150000,2,150000,2,100,140000,100,78235.62,,,,0,,,0,140000,140000,1,150000,3,100,140000,100,78235.62,,,,0,,,0,150000,150000,,,0,100,140000,100
WRH,,,7800,7800,1336,7800,1904,10,6000,190,10900,10900,736,10900,2589,,,0,3393.95,,,,0,,,0,10019.9,9990,15,9990,2539,40,8100,806,3393.95,,,,0,,,0,9676.1,9970,545,9970,1784,,,0
WS,,,5820,5820,95,5820,938,19,5700,19,4880,4880,7,4880,220,1,3360,275,6000,6000,60,5200,64,,,0,4385.35,4800,10,4800,2112,100,3900,1119,2599.57,,20,5000,166,,,0,5150,5150,136,5150,626,50,3050,260
ZIR,,,500,500,475,500,19508,30,250,1896,481.34,440,43,540,13777,468,440,1968,117.55,,552,800,552,,,0,678,678,3105,678,24032,50,501,6550,648,648,20,780,20,,,0,600,600,458,600,6175,4,325,1504
ZR,,,16200,16200,198,16200,491,4,12000,84,17000,17000,446,17000,487,200,14200,300,7683.92,,,,0,,,0,16900,16900,106,16900,308,100,14000,270,15200,15200,10,35000,10,,,0,14582.01,16500,34,16500,166,104,13500,164
