Username,NaturalId,Name,StorageType,Ticker,Amount
JONATHAN_KEE,AVI-076FJ,,FTL_FUEL_STORE,FF,264
JONATHAN_KEE,AVI-076FJ,,STL_FUEL_STORE,SF,1115
JONATHAN_KEE,AVI-076FK,,FTL_FUEL_STORE,FF,282
JONATHAN_KEE,AVI-076FK,,STL_FUEL_STORE,SF,1246
JONATHAN_KEE,ZV-759c,Deimos,STORE,AL,3
JONATHAN_KEE,ZV-759c,Deimos,STORE,ALO,14
JONATHAN_KEE,ZV-759c,Deimos,STORE,BBH,2
JONATHAN_KEE,ZV-759c,Deimos,STORE,BDE,2
JONATHAN_KEE,ZV-759c,Deimos,STORE,BSE,29
JONATHAN_KEE,ZV-759c,Deimos,STORE,C,36
JONATHAN_KEE,ZV-759c,Deimos,STORE,COF,28
JONATHAN_KEE,ZV-759c,Deimos,STORE,DW,116
JONATHAN_KEE,ZV-759c,Deimos,STORE,FEO,24
JONATHAN_KEE,ZV-759c,Deimos,STORE,FF,350
JONATHAN_KEE,ZV-759c,Deimos,STORE,FLX,39
JONATHAN_KEE,ZV-759c,Deimos,STORE,MCG,209
JONATHAN_KEE,ZV-759c,Deimos,STORE,O,36
JONATHAN_KEE,ZV-759c,Deimos,STORE,OVE,13
JONATHAN_KEE,ZV-759c,Deimos,STORE,PWO,34
JONATHAN_KEE,ZV-759c,Deimos,STORE,RAT,116
JONATHAN_KEE,ZV-759c,Deimos,STORE,SF,950
