Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,20000,1,20000,325,66,18000,306,30000,41,30000,50,,,0,20000,,,0,,,0,17901.240234375,149,20000,299,7,17000,248,6777.080078125,3,16200,3,,,0,29775,7,32400,33,1,17500,21
ABH,,,56000,1,56000,1360,2,53000,1005,52000,195,58900,1186,20,52000,107,53000,10,55000,10,,,0,51800,18,51800,824,200,50000,1145,24111.880859375,27,65000,27,,,0,55266.671875,79,55100,896,300,50000,364
ACS,,,152535.8125,48,159000,49,10,140000,10,160000,3,160000,90,10,155000,42,74706.546875,,,0,,,0,160000,4,160000,30,10,150000,10,124000,,,0,,,0,159000,18,159000,20,1,151000,5
ADE,,,60841.890625,12,60700,645,2,51000,1283,38000,13,58900,977,46,38000,107,47000,,,0,,,0,59000,57,59000,527,144,50100,688,21239.529296875,26,60000,26,,,0,63000,21,62900,62,25,45500,1047
ADR,70000,,71300,5,125000,55,46,71300,166,110000,14,110000,108,2,90000,152,60000,,,0,,,0,82111.859375,17,100000,67,100,70000,110,29140.779296875,,,0,,,0,90000,1,90000,13,50,72200,180
ADS,,,134524.390625,2,139000,73,2,116000,19,146477.046875,4,160000,4,9,104000,22,250000,,,0,,,0,139000,1,139000,34,9,113000,22,55163.26953125,1,128000,1,,,0,150000,8,150000,117,3,125000,24
AEF,,,5200,18,6220,3758,189,5200,1689,6690,11,6670,1330,185,5500,925,40,76,9000,228,,,0,7890.6298828125,226,9000,1613,478,5600,771,10000,10,10000,384,,,0,4934.52001953125,6,5960,1751,111,4250,2927
AEN,,,2240000,1,2150000,4,,,0,2120000,1,2110000,9,,,0,990267,,,0,,,0,2290000,1,2270000,2,2,1200000,4,990267,,,0,,,0,2600000,1,2700000,1,,,0
AFP,,,30000,,,0,,,0,30000,,,0,,,0,134412.703125,,,0,,,0,30000,,,0,16,40000,16,134412.703125,,,0,,,0,35000,,,0,3,35000,3
AFR,,,27000,1,27500,26,100,22000,277,22344.400390625,15,24500,15,26,20500,228,9504.2998046875,,,0,,,0,21000,,,0,10,18000,30,9504.2998046875,,,0,,,0,22500,,,0,3,22500,36
