Username,NaturalId,Name,StorageType,Ticker,Amount
JONATHAN_KEE,AVI-076FJ,,SHIP_STORE,AL,24
JONATHAN_KEE,AVI-076FJ,,SHIP_STORE,ALO,21
JONATHAN_KEE,AVI-076FJ,,FTL_FUEL_STORE,FF,246
JONATHAN_KEE,AVI-076FJ,,STL_FUEL_STORE,SF,971
JONATHAN_KEE,AVI-076FK,,FTL_FUEL_STORE,FF,264
JONATHAN_KEE,AVI-076FK,,STL_FUEL_STORE,SF,987
JONATHAN_KEE,ZV-759c,Deimos,STORE,ALO,21
JONATHAN_KEE,ZV-759c,Deimos,STORE,BSE,25
JONATHAN_KEE,ZV-759c,Deimos,STORE,C,29
JONATHAN_KEE,ZV-759c,Deimos,STORE,COF,27
JONATHAN_KEE,ZV-759c,Deimos,STORE,DW,143
JONATHAN_KEE,ZV-759c,Deimos,STORE,FEO,24
JONATHAN_KEE,ZV-759c,Deimos,STORE,FF,350
JONATHAN_KEE,ZV-759c,Deimos,STORE,FLX,39
JONATHAN_KEE,ZV-759c,Deimos,STORE,MCG,13
JONATHAN_KEE,ZV-759c,Deimos,STORE,O,29
JONATHAN_KEE,ZV-759c,Deimos,STORE,OVE,52
JONATHAN_KEE,ZV-759c,Deimos,STORE,PWO,33
JONATHAN_KEE,ZV-759c,Deimos,STORE,RAT,142
JONATHAN_KEE,ZV-759c,Deimos,STORE,SF,950
