Username,NaturalId,Name,StorageType,Ticker,Amount
JONATHAN_KEE,AVI-076FJ,,FTL_FUEL_STORE,FF,264
JONATHAN_KEE,AVI-076FJ,,STL_FUEL_STORE,SF,1115
JONATHAN_KEE,AVI-076FK,,FTL_FUEL_STORE,FF,264
JONATHAN_KEE,AVI-076FK,,STL_FUEL_STORE,SF,987
JONATHAN_KEE,ZV-759c,Deimos,STORE,AL,12
JONATHAN_KEE,ZV-759c,Deimos,STORE,ALO,38
JONATHAN_KEE,ZV-759c,Deimos,STORE,BSE,25
JONATHAN_KEE,ZV-759c,Deimos,STORE,C,33
JONATHAN_KEE,ZV-759c,Deimos,STORE,COF,28
JONATHAN_KEE,ZV-759c,Deimos,STORE,DW,150
JONATHAN_KEE,ZV-759c,Deimos,STORE,FEO,24
JONATHAN_KEE,ZV-759c,Deimos,STORE,FF,350
JONATHAN_KEE,ZV-759c,Deimos,STORE,FLX,39
JONATHAN_KEE,ZV-759c,Deimos,STORE,MCG,13
JONATHAN_KEE,ZV-759c,Deimos,STORE,O,33
JONATHAN_KEE,ZV-759c,Deimos,STORE,OVE,53
JONATHAN_KEE,ZV-759c,Deimos,STORE,PWO,34
JONATHAN_KEE,ZV-759c,Deimos,STORE,RAT,149
JONATHAN_KEE,ZV-759c,Deimos,STORE,SF,950
