Username,NaturalId,Name,StorageType,Ticker,Amount
JONATHAN_KEE,AVI-076FJ,,FTL_FUEL_STORE,FF,264
JONATHAN_KEE,AVI-076FJ,,STL_FUEL_STORE,SF,1115
JONATHAN_KEE,AVI-076FK,,FTL_FUEL_STORE,FF,300
JONATHAN_KEE,AVI-076FK,,STL_FUEL_STORE,SF,1500
JONATHAN_KEE,ZV-759c,Deimos,STORE,AL,60
JONATHAN_KEE,ZV-759c,Deimos,STORE,ALO,101
JONATHAN_KEE,ZV-759c,Deimos,STORE,BBH,2
JONATHAN_KEE,ZV-759c,Deimos,STORE,BDE,2
JONATHAN_KEE,ZV-759c,Deimos,STORE,BSE,21
JONATHAN_KEE,ZV-759c,Deimos,STORE,C,37
JONATHAN_KEE,ZV-759c,Deimos,STORE,COF,29
JONATHAN_KEE,ZV-759c,Deimos,STORE,DW,101
JONATHAN_KEE,ZV-759c,Deimos,STORE,FEO,24
JONATHAN_KEE,ZV-759c,Deimos,STORE,FF,350
JONATHAN_KEE,ZV-759c,Deimos,STORE,FLX,39
JONATHAN_KEE,ZV-759c,Deimos,STORE,MCG,159
JONATHAN_KEE,ZV-759c,Deimos,STORE,O,37
JONATHAN_KEE,ZV-759c,Deimos,STORE,OVE,14
JONATHAN_KEE,ZV-759c,Deimos,STORE,PWO,4
JONATHAN_KEE,ZV-759c,Deimos,STORE,RAT,121
JONATHAN_KEE,ZV-759c,Deimos,STORE,SF,950
