Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
I,,,1319.510009765625,688,2100,1491,10,1500,710,1300,22,1800,941,1666,1300,7163,1500,100,1000,100,,,0,1500,386,2230,2247,40,1600,5310,1110,,,0,30,1000,30,670,82,1670,1826,80,670,80
IDC,11000,,11100,287,11200,786,100,11000,100,11000,1160,11100,1269,100,11000,100,10324.98046875,,,0,,,0,11000,73,11100,2938,100,11000,100,10324.98046875,10,15400,10,,,0,11000,77,11100,103,100,11000,100
IMM,,,100000,11,125000,20,,,0,135000,3,135000,35,6,110000,16,68316.59375,,,0,,,0,137500,,,0,8,90000,13,68316.59375,,,0,,,0,100000,,,0,7,100000,7
IND,,,5090,167,5070,3064,5,3910,1073,4603.1298828125,77,4800,441,100,3500,100,1977.510009765625,,,0,,,0,4770,33,4760,6170,472,4000,2066,5000,24,7000,24,,,0,4262.0400390625,92,4500,664,20,4000,31
INS,,,199,9386,199,758166,112,152,236797,200,1200,199,292310,374,183,286589,200,2790,200,12790,,,0,191,3215,191,433004,8378,161,285388,200,13887,200,17622,1000,100,1000,198,504,198,277587,500,163,271460
JUI,,,2,98,25000,100,284,2,384,40000,29,100000,309,,,0,1102.27001953125,280,100000,280,,,0,1,1,99000,1,1,1,2,1102.27001953125,,,0,,,0,30000,118,30000,121,,,0
KOM,,,1080,102,1080,39911,450,853,17783,1020,270,1020,24511,98,921,5427,1250,190,1500,951,674,1250,674,1020,7877,1030,56262,1793,1020,36259,1600,,,0,50,1300,4100,970,181,970,24892,30,960,18378
KR,,,113.81999969482422,8498,131,39155,1000,120,4699,50,565,118,50046,,,0,133.3300018310547,13725,110,14045,,,0,136.27000427246094,4900,135,106260,,,0,133.3300018310547,,,0,,,0,99,995,99,29634,,,0
KRE,,,15000,204,14400,840,,,0,15000,150,13900,1434,,,0,15423.41015625,,,0,,,0,13800,296,12000,1938,,,0,15423.41015625,50,12000,50,,,0,15000,22,15000,22,,,0
KV,,,35000,15,34000,204,98,31000,733,29000,42,33000,443,44,29000,784,30000,,,0,,,0,33117.5,51,33500,851,38,30000,1166,34000,11,34000,11,,,0,31500,89,31500,154,20,28500,733
LBH,,,6290,502,6290,5234,4,5750,3081,6290,401,6290,3033,4,5550,716,6000,43,6000,143,,,0,6200,519,6200,3419,431,4650,2051,6000,384,6000,2628,82,4000,82,6590,17,6500,1924,224,5250,870
LC,,,10300,30,10300,41,15,7510,775,10400,19,10300,936,100,7000,595,3180.050048828125,24,9000,64,,,0,8000,861,8000,2265,63,7500,1249,3180.050048828125,10,5000,165,,,0,10458.330078125,10,10000,207,100,6000,130
LCB,,,817437.875,4,817000,28,1,640000,6,857000,1,857000,12,2,730000,4,352370.59375,,,0,,,0,745000,2,745000,36,1,317000,3,352370.59375,,,0,,,0,775000,1,800000,7,1,501000,1
LCR,,,4000,15,4000,57,100,1800,100,4886.4599609375,100,5600,104,100,1800,100,2948.659912109375,53,7370,53,,,0,5791.85009765625,43,6000,43,35,2120,93,2948.659912109375,,,0,,,0,7000,48,5000,180,,,0
LD,,,12200,162,12200,1790,60,11700,509,11690.3896484375,1,11900,13,98,10000,140,5116.1298828125,,,0,,,0,13417.4599609375,66,13400,161,62,11000,115,5116.1298828125,,,0,,,0,12000,,,0,100,11000,210
LDE,,,15500,16,15500,1280,10,14200,3802,15260.419921875,83,15300,1050,1,14000,1152,18000,200,16000,431,,,0,16000,10,15900,1560,18,13000,3834,14836.2998046875,10,16000,17,10,6500,10,13100,1,13100,932,141,9720,591
LDI,,,735,304,735,2664,250,125,850,499,568,499,1555,910,460,937,282.8699951171875,,,0,,,0,499,11841,499,26699,500,400,500,375,20,740,20,,,0,521.4600219726562,446,522,1908,500,250,500
LES,,,1000,122,1080,5187,411,500,411,351,10,1100,651,50,350,150,228.57000732421875,100,1100,300,,,0,866,153,866,11729,333,751,3527,228.57000732421875,,,0,,,0,1300,24,1190,277,60,601,60
